case,fpr,tpr_mean,tpr_std,auc_mean,auc_std,n_seeds
mixed_in,0.052000000000000005,0.4545962559374127,0.01417123017438968,0.7853321650225626,0.006984545991167514,15
mixed_in,0.054,0.4580050293378039,0.014508119771601343,0.7853321650225626,0.006984545991167514,15
mixed_in,0.056,0.4620843811120424,0.014529627951601244,0.7853321650225626,0.006984545991167514,15
mixed_in,0.058,0.46499022073204804,0.014933443971797404,0.7853321650225626,0.006984545991167514,15
mixed_in,0.06,0.4678960603520537,0.015489973372815652,0.7853321650225626,0.006984545991167514,15
mixed_in,0.062,0.4678960603520537,0.015489973372815652,0.7853321650225626,0.006984545991167514,15
mixed_in,0.064,0.47175188600167645,0.016725856645414146,0.7853321650225626,0.006984545991167514,15
mixed_in,0.066,0.478290025146689,0.01642232609724521,0.7853321650225626,0.006984545991167514,15
mixed_in,0.068,0.48197820620285,0.014938252747658325,0.7853321650225626,0.006984545991167514,15
mixed_in,0.07,0.48505169041631746,0.014472129846780573,0.7853321650225626,0.006984545991167514,15
mixed_in,0.07200000000000001,0.48851634534786265,0.014685896035591482,0.7853321650225626,0.006984545991167514,15
mixed_in,0.074,0.4914221849678682,0.013283358502062933,0.7853321650225626,0.006984545991167514,15
mixed_in,0.076,0.4914221849678682,0.013283358502062933,0.7853321650225626,0.006984545991167514,15
mixed_in,0.078,0.494104498463258,0.013803530015873243,0.7853321650225626,0.006984545991167514,15
mixed_in,0.08,0.49723386420787924,0.014311128115711119,0.7853321650225626,0.006984545991167514,15
mixed_in,0.082,0.5003073484213467,0.014122225945042362,0.7853321650225626,0.006984545991167514,15
mixed_in,0.084,0.5030455434478904,0.014427394971203066,0.7853321650225626,0.006984545991167514,15
mixed_in,0.08600000000000001,0.50600726459905,0.014088353541576466,0.7853321650225626,0.006984545991167514,15
mixed_in,0.088,0.50600726459905,0.014088353541576466,0.7853321650225626,0.006984545991167514,15
mixed_in,0.09,0.5091366303436714,0.014178279880474768,0.7853321650225626,0.006984545991167514,15
mixed_in,0.092,0.5114277731209836,0.01463370756375113,0.7853321650225626,0.006984545991167514,15
mixed_in,0.094,0.5154512433640682,0.014484423885395841,0.7853321650225626,0.006984545991167514,15
mixed_in,0.096,0.5184129645152278,0.014937834654688899,0.7853321650225626,0.006984545991167514,15
mixed_in,0.098,0.5215423302598492,0.014717756827228609,0.7853321650225626,0.006984545991167514,15
mixed_in,0.1,0.5215423302598492,0.014717756827228609,0.7853321650225626,0.006984545991167514,15
mixed_in,0.10200000000000001,0.5248952221290863,0.01397664011864952,0.7853321650225626,0.006984545991167514,15
mixed_in,0.10400000000000001,0.5279687063425539,0.013351593574901819,0.7853321650225626,0.006984545991167514,15
mixed_in,0.106,0.5303157306510199,0.013255824781645451,0.7853321650225626,0.006984545991167514,15
mixed_in,0.108,0.533612740989103,0.013178329544288582,0.7853321650225626,0.006984545991167514,15
mixed_in,0.11,0.5368538697960326,0.013687667458866785,0.7853321650225626,0.006984545991167514,15
mixed_in,0.112,0.5368538697960326,0.013687667458866785,0.7853321650225626,0.006984545991167514,15
mixed_in,0.114,0.5400391170718077,0.01342715867519943,0.7853321650225626,0.006984545991167514,15
mixed_in,0.116,0.542106733724504,0.014127531894424623,0.7853321650225626,0.006984545991167514,15
mixed_in,0.11800000000000001,0.5435596535345069,0.013921793120838612,0.7853321650225626,0.006984545991167514,15
mixed_in,0.12,0.545850796311819,0.01485082574760789,0.7853321650225626,0.006984545991167514,15
mixed_in,0.122,0.5482537021514389,0.015265377885634101,0.7853321650225626,0.006984545991167514,15
mixed_in,0.124,0.5482537021514389,0.015265377885634101,0.7853321650225626,0.006984545991167514,15
mixed_in,0.126,0.5502654372729813,0.015177366251478544,0.7853321650225626,0.006984545991167514,15
mixed_in,0.128,0.5516624755518301,0.015003540710479447,0.7853321650225626,0.006984545991167514,15
mixed_in,0.13,0.5535065660799107,0.015229127029336617,0.7853321650225626,0.006984545991167514,15
mixed_in,0.132,0.5564682872310701,0.0149754162733296,0.7853321650225626,0.006984545991167514,15
mixed_in,0.134,0.5589270746018441,0.01519998191929267,0.7853321650225626,0.006984545991167514,15
mixed_in,0.136,0.5589270746018441,0.01519998191929267,0.7853321650225626,0.006984545991167514,15
mixed_in,0.138,0.5617211511595418,0.014773876307632092,0.7853321650225626,0.006984545991167514,15
mixed_in,0.14,0.5655769768091647,0.014955384495855503,0.7853321650225626,0.006984545991167514,15
mixed_in,0.14200000000000002,0.5688181056160939,0.015115308581898206,0.7853321650225626,0.006984545991167514,15
mixed_in,0.14400000000000002,0.5715004191114835,0.015574414317424309,0.7853321650225626,0.006984545991167514,15
mixed_in,0.146,0.5747415479184129,0.014520598396344628,0.7853321650225626,0.006984545991167514,15
mixed_in,0.148,0.5785414920368819,0.014910633465234002,0.7853321650225626,0.006984545991167514,15
mixed_in,0.15,0.5785414920368819,0.014910633465234002,0.7853321650225626,0.006984545991167514,15
mixed_in,0.152,0.5800502933780385,0.014884851189569387,0.7853321650225626,0.006984545991167514,15
mixed_in,0.154,0.5841855266834309,0.01649253243538126,0.7853321650225626,0.006984545991167514,15
mixed_in,0.156,0.5873707739592064,0.017594608685252113,0.7853321650225626,0.006984545991167514,15
mixed_in,0.158,0.5894942721430567,0.01699055876746999,0.7853321650225626,0.006984545991167514,15
mixed_in,0.16,0.5913383626711373,0.017224388559935078,0.7853321650225626,0.006984545991167514,15
mixed_in,0.162,0.5913383626711373,0.017224388559935078,0.7853321650225626,0.006984545991167514,15
mixed_in,0.164,0.5937412685107571,0.01736198794615313,0.7853321650225626,0.006984545991167514,15
mixed_in,0.166,0.5970382788488405,0.0176954848671811,0.7853321650225626,0.006984545991167514,15
mixed_in,0.168,0.5989941324392288,0.017912101108725004,0.7853321650225626,0.006984545991167514,15
mixed_in,0.17,0.6017882089969265,0.017171549824305028,0.7853321650225626,0.006984545991167514,15
mixed_in,0.17200000000000001,0.6032411288069294,0.016924817485770325,0.7853321650225626,0.006984545991167514,15
mixed_in,0.17400000000000002,0.6032411288069294,0.016924817485770325,0.7853321650225626,0.006984545991167514,15
mixed_in,0.176,0.6058116792400111,0.017527926164953644,0.7853321650225626,0.006984545991167514,15
mixed_in,0.178,0.6078792958927075,0.018152124303288067,0.7853321650225626,0.006984545991167514,15
mixed_in,0.18,0.6092204526404024,0.017681538137046385,0.7853321650225626,0.006984545991167514,15
mixed_in,0.182,0.6119586476669461,0.01823519767892192,0.7853321650225626,0.006984545991167514,15
mixed_in,0.184,0.6143615535065661,0.018080417374772114,0.7853321650225626,0.006984545991167514,15
mixed_in,0.186,0.6143615535065661,0.018080417374772114,0.7853321650225626,0.006984545991167514,15
mixed_in,0.188,0.6159262363788768,0.018469332150126912,0.7853321650225626,0.006984545991167514,15
mixed_in,0.19,0.6178262084381113,0.017840479668423066,0.7853321650225626,0.006984545991167514,15
mixed_in,0.192,0.6189997205923441,0.01780210527605813,0.7853321650225626,0.006984545991167514,15
mixed_in,0.194,0.6204526404023469,0.01788436001238289,0.7853321650225626,0.006984545991167514,15
mixed_in,0.196,0.6230231908354289,0.01660857017105201,0.7853321650225626,0.006984545991167514,15
mixed_in,0.198,0.6230231908354289,0.01660857017105201,0.7853321650225626,0.006984545991167514,15
mixed_in,0.2,0.625314333612741,0.015948279623168846,0.7853321650225626,0.006984545991167514,15
mixed_in,0.202,0.6283878178262086,0.016430500618037604,0.7853321650225626,0.006984545991167514,15
mixed_in,0.20400000000000001,0.6306230790723666,0.016886026584324396,0.7853321650225626,0.006984545991167514,15
mixed_in,0.20600000000000002,0.6318524727577536,0.016840286740955446,0.7853321650225626,0.006984545991167514,15
mixed_in,0.20800000000000002,0.6343112601285276,0.016472639423360146,0.7853321650225626,0.006984545991167514,15
mixed_in,0.21,0.6343112601285276,0.016472639423360146,0.7853321650225626,0.006984545991167514,15
mixed_in,0.212,0.6363788767812238,0.016765018152184345,0.7853321650225626,0.006984545991167514,15
mixed_in,0.214,0.6375523889354568,0.016487798180954808,0.7853321650225626,0.006984545991167514,15
mixed_in,0.216,0.6404582285554624,0.01599071275760549,0.7853321650225626,0.006984545991167514,15
mixed_in,0.218,0.6420979044425816,0.017021022483282158,0.7853321650225626,0.006984545991167514,15
mixed_in,0.22,0.6436993573623917,0.017070321491900145,0.7853321650225626,0.006984545991167514,15
mixed_in,0.222,0.6464934339200894,0.017581292414340095,0.7853321650225626,0.006984545991167514,15
