CONDITION	MODE	DIST	DOMAIN	RATIO	SEED	TRAIN_JOBID	TAG
baseline	source_only	dtw	out_domain	NA	1	manual_20260506_154802	baseline_domain_knn_dtw_out_domain_source_only_split2_s1
baseline	source_only	dtw	out_domain	NA	123	manual_20260506_154803	baseline_domain_knn_dtw_out_domain_source_only_split2_s123
baseline	source_only	dtw	out_domain	NA	13	manual_20260504_185039	baseline_domain_knn_dtw_out_domain_source_only_split2_s13
baseline	source_only	dtw	out_domain	NA	1337	manual_20260504_195054	baseline_domain_knn_dtw_out_domain_source_only_split2_s1337
baseline	source_only	dtw	out_domain	NA	2024	manual_20260504_202033	baseline_domain_knn_dtw_out_domain_source_only_split2_s2024
baseline	source_only	dtw	out_domain	NA	256	manual_20260504_192017	baseline_domain_knn_dtw_out_domain_source_only_split2_s256
baseline	source_only	dtw	out_domain	NA	3	manual_20260504_175024	baseline_domain_knn_dtw_out_domain_source_only_split2_s3
baseline	source_only	dtw	out_domain	NA	42	manual_20260506_154808	baseline_domain_knn_dtw_out_domain_source_only_split2_s42
baseline	source_only	dtw	out_domain	NA	512	manual_20260504_192047	baseline_domain_knn_dtw_out_domain_source_only_split2_s512
baseline	source_only	dtw	out_domain	NA	7	manual_20260504_182031	baseline_domain_knn_dtw_out_domain_source_only_split2_s7
baseline	source_only	dtw	out_domain	NA	999	manual_20260504_195024	baseline_domain_knn_dtw_out_domain_source_only_split2_s999
baseline	source_only	mmd	in_domain	NA	0	manual_20260505_010914	baseline_domain_knn_mmd_in_domain_source_only_split2_s0
baseline	source_only	mmd	in_domain	NA	123	manual_20260503_181224	baseline_domain_knn_mmd_in_domain_source_only_split2_s123
baseline	source_only	mmd	in_domain	NA	13	manual_20260504_100300	baseline_domain_knn_mmd_in_domain_source_only_split2_s13
baseline	source_only	mmd	in_domain	NA	1337	manual_20260504_100249	baseline_domain_knn_mmd_in_domain_source_only_split2_s1337
baseline	source_only	mmd	in_domain	NA	2024	manual_20260505_031143	baseline_domain_knn_mmd_in_domain_source_only_split2_s2024
baseline	source_only	mmd	in_domain	NA	256	manual_20260504_100221	baseline_domain_knn_mmd_in_domain_source_only_split2_s256
baseline	source_only	mmd	in_domain	NA	3	manual_20260504_201702	baseline_domain_knn_mmd_in_domain_source_only_split2_s3
baseline	source_only	mmd	in_domain	NA	42	manual_20260503_172507	baseline_domain_knn_mmd_in_domain_source_only_split2_s42
baseline	source_only	mmd	in_domain	NA	512	manual_20260504_100304	baseline_domain_knn_mmd_in_domain_source_only_split2_s512
baseline	source_only	mmd	in_domain	NA	7	manual_20260504_100219	baseline_domain_knn_mmd_in_domain_source_only_split2_s7
baseline	source_only	mmd	in_domain	NA	999	manual_20260504_100304	baseline_domain_knn_mmd_in_domain_source_only_split2_s999
baseline	source_only	mmd	out_domain	NA	123	manual_20260503_135345	baseline_domain_knn_mmd_out_domain_source_only_split2_s123
baseline	source_only	mmd	out_domain	NA	1337	manual_20260506_164442	baseline_domain_knn_mmd_out_domain_source_only_split2_s1337
baseline	source_only	mmd	out_domain	NA	2024	manual_20260506_170447	baseline_domain_knn_mmd_out_domain_source_only_split2_s2024
baseline	source_only	mmd	out_domain	NA	42	manual_20260503_135344	baseline_domain_knn_mmd_out_domain_source_only_split2_s42
baseline	source_only	mmd	out_domain	NA	512	manual_20260506_155833	baseline_domain_knn_mmd_out_domain_source_only_split2_s512
baseline	source_only	mmd	out_domain	NA	999	manual_20260506_162839	baseline_domain_knn_mmd_out_domain_source_only_split2_s999
baseline	source_only	wasserstein	in_domain	NA	0	manual_20260506_062500	baseline_domain_knn_wasserstein_in_domain_source_only_split2_s0
baseline	source_only	wasserstein	in_domain	NA	1	manual_20260506_000042	baseline_domain_knn_wasserstein_in_domain_source_only_split2_s1
baseline	source_only	wasserstein	in_domain	NA	123	manual_20260506_084955	baseline_domain_knn_wasserstein_in_domain_source_only_split2_s123
baseline	source_only	wasserstein	in_domain	NA	13	manual_20260506_003048	baseline_domain_knn_wasserstein_in_domain_source_only_split2_s13
baseline	source_only	wasserstein	in_domain	NA	1337	manual_20260506_023113	baseline_domain_knn_wasserstein_in_domain_source_only_split2_s1337
baseline	source_only	wasserstein	in_domain	NA	2024	manual_20260506_151959	baseline_domain_knn_wasserstein_in_domain_source_only_split2_s2024
baseline	source_only	wasserstein	in_domain	NA	256	manual_20260506_013103	baseline_domain_knn_wasserstein_in_domain_source_only_split2_s256
baseline	source_only	wasserstein	in_domain	NA	3	manual_20260506_000044	baseline_domain_knn_wasserstein_in_domain_source_only_split2_s3
baseline	source_only	wasserstein	in_domain	NA	42	manual_20260506_083422	baseline_domain_knn_wasserstein_in_domain_source_only_split2_s42
baseline	source_only	wasserstein	in_domain	NA	512	manual_20260506_020110	baseline_domain_knn_wasserstein_in_domain_source_only_split2_s512
baseline	source_only	wasserstein	in_domain	NA	7	manual_20260506_165043	baseline_domain_knn_wasserstein_in_domain_source_only_split2_s7
baseline	source_only	wasserstein	in_domain	NA	999	manual_20260506_145727	baseline_domain_knn_wasserstein_in_domain_source_only_split2_s999
baseline	source_only	wasserstein	out_domain	NA	0	manual_20260505_132419	baseline_domain_knn_wasserstein_out_domain_source_only_split2_s0
baseline	source_only	wasserstein	out_domain	NA	1	manual_20260505_202854	baseline_domain_knn_wasserstein_out_domain_source_only_split2_s1
baseline	source_only	wasserstein	out_domain	NA	123	manual_20260505_233135	baseline_domain_knn_wasserstein_out_domain_source_only_split2_s123
baseline	source_only	wasserstein	out_domain	NA	13	manual_20260505_222350	baseline_domain_knn_wasserstein_out_domain_source_only_split2_s13
baseline	source_only	wasserstein	out_domain	NA	1337	manual_20260505_162529	baseline_domain_knn_wasserstein_out_domain_source_only_split2_s1337
