CONDITION	MODE	DIST	DOMAIN	RATIO	SEED	TRAIN_JOBID	TAG
smote_plain	source_only	mmd	out_domain	0.5	999	manual_20260503_191149	smote_plain_knn_mmd_out_domain_source_only_split2_ratio0.5_s999
smote_plain	source_only	wasserstein	in_domain	0.1	0	manual_20260506_063601	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.1_s0
smote_plain	source_only	wasserstein	in_domain	0.1	1	manual_20260506_000042	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.1_s1
smote_plain	source_only	wasserstein	in_domain	0.1	123	manual_20260506_092531	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.1_s123
smote_plain	source_only	wasserstein	in_domain	0.1	13	manual_20260506_125646	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.1_s13
smote_plain	source_only	wasserstein	in_domain	0.1	1337	manual_20260506_023115	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.1_s1337
smote_plain	source_only	wasserstein	in_domain	0.1	2024	manual_20260506_153631	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.1_s2024
smote_plain	source_only	wasserstein	in_domain	0.1	256	manual_20260506_013103	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.1_s256
smote_plain	source_only	wasserstein	in_domain	0.1	3	manual_20260506_000044	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.1_s3
smote_plain	source_only	wasserstein	in_domain	0.1	42	manual_20260506_010054	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.1_s42
smote_plain	source_only	wasserstein	in_domain	0.1	512	manual_20260506_020107	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.1_s512
smote_plain	source_only	wasserstein	in_domain	0.1	7	manual_20260506_003049	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.1_s7
smote_plain	source_only	wasserstein	in_domain	0.1	999	manual_20260506_100012	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.1_s999
smote_plain	source_only	wasserstein	in_domain	0.5	0	manual_20260506_073011	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.5_s0
smote_plain	source_only	wasserstein	in_domain	0.5	1	manual_20260506_000044	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.5_s1
smote_plain	source_only	wasserstein	in_domain	0.5	123	manual_20260506_013103	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.5_s123
smote_plain	source_only	wasserstein	in_domain	0.5	13	manual_20260506_081949	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.5_s13
smote_plain	source_only	wasserstein	in_domain	0.5	1337	manual_20260506_023115	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.5_s1337
smote_plain	source_only	wasserstein	in_domain	0.5	256	manual_20260506_095809	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.5_s256
smote_plain	source_only	wasserstein	in_domain	0.5	3	manual_20260506_075345	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.5_s3
smote_plain	source_only	wasserstein	in_domain	0.5	42	manual_20260506_010054	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.5_s42
smote_plain	source_only	wasserstein	in_domain	0.5	512	manual_20260506_020110	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.5_s512
smote_plain	source_only	wasserstein	in_domain	0.5	7	manual_20260506_003049	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.5_s7
smote_plain	source_only	wasserstein	in_domain	0.5	999	manual_20260506_023114	smote_plain_knn_wasserstein_in_domain_source_only_split2_ratio0.5_s999
smote_plain	source_only	wasserstein	out_domain	0.1	0	manual_20260505_132418	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.1_s0
smote_plain	source_only	wasserstein	out_domain	0.1	1	manual_20260505_202925	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.1_s1
smote_plain	source_only	wasserstein	out_domain	0.1	123	manual_20260506_082250	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.1_s123
smote_plain	source_only	wasserstein	out_domain	0.1	13	manual_20260505_222551	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.1_s13
smote_plain	source_only	wasserstein	out_domain	0.1	1337	manual_20260505_162529	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.1_s1337
smote_plain	source_only	wasserstein	out_domain	0.1	2024	manual_20260505_162529	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.1_s2024
smote_plain	source_only	wasserstein	out_domain	0.1	256	manual_20260505_233506	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.1_s256
smote_plain	source_only	wasserstein	out_domain	0.1	3	manual_20260505_210031	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.1_s3
smote_plain	source_only	wasserstein	out_domain	0.1	42	manual_20260505_145441	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.1_s42
smote_plain	source_only	wasserstein	out_domain	0.1	512	manual_20260505_155524	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.1_s512
smote_plain	source_only	wasserstein	out_domain	0.1	7	manual_20260505_142433	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.1_s7
smote_plain	source_only	wasserstein	out_domain	0.1	999	manual_20260505_234608	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.1_s999
smote_plain	source_only	wasserstein	out_domain	0.5	0	manual_20260505_132418	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.5_s0
smote_plain	source_only	wasserstein	out_domain	0.5	1	manual_20260505_135425	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.5_s1
smote_plain	source_only	wasserstein	out_domain	0.5	123	manual_20260505_152446	smote_plain_knn_wasserstein_out_domain_source_only_split2_ratio0.5_s123
